	Fitofisionomia	Sp1	Sp2	Sp3	Sp4	Sp5	Sp6	Sp7	Sp8	Sp9	Sp10	Sp11	Sp12	Sp13	Sp14	Sp15	Sp16	Sp17	Sp18	Sp19	Sp20	Sp21	Sp22	Sp23	Sp24	Sp25	Sp26	Sp27	Sp28	Sp29	Sp30	Sp31	Sp32	Sp33	Sp34	Sp35	Sp36	Sp37	Sp38	Sp39	Sp40	Sp41	Sp42	Sp43	Sp44	Sp45	Sp46	Sp47	Sp48	Sp49	Sp50	Sp51	Sp52	Sp53	Sp54	Sp55	Sp56	Sp57	Sp58	Sp59	Sp60	Sp61	Sp62	Sp63	Sp64	Sp65	Sp66	Sp67	Sp68	Sp69	Sp70	Sp71	Sp72	Sp73	Sp74	Sp75	Sp76	Sp77	Sp78	Sp79	Sp80	Sp81	Sp82	Sp83	Sp84	Sp85	Sp86	Sp87	Sp88	Sp89	Sp90	Sp91	Sp92	Sp93	Sp94	Sp95	Sp96	Sp97	Sp98	Sp99	Sp100	Sp101	Sp102	Sp103	Sp104	Sp105	Sp106	Sp107	Sp108	Sp109	Sp110	Sp111	Sp112	Sp113	Sp114	Sp115	Sp116	Sp117	Sp118	Sp119	Sp120	Sp121	Sp122	Sp123	Sp124	Sp125	Sp126	Sp127	Sp128	Sp129	Sp130	Sp131	Sp132
Qdr11	1	1	0	1	1	0	1	0	0	0	0	0	1	0	1	0	0	1	0	0	1	0	0	0	1	0	0	0	0	1	1	0	0	0	0	1	1	0	0	0	0	1	1	1	1	0	1	0	0	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	0	1	1	0	1	0	0	1	0	0	0	1	1	0	0	0	0	0	1	0	1	1	0	0	0	0	1	0	0	0	1	0	1	0	0	0	1	1	1	1	1	1	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	1
Qdr12	1	1	0	1	1	0	1	0	0	0	0	0	1	0	1	0	0	1	0	0	1	0	0	0	1	0	0	0	0	1	1	0	0	0	0	1	1	0	0	0	0	1	1	1	1	0	1	0	0	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1	1	0	1	1	0	1	0	0	1	0	0	0	1	1	0	0	0	0	0	1	0	1	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	1	1	1	1	1	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	1
Qdr13	1	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	1	0	0	0	0	1	1	1	1	1	1	0	0	1	1	1	1	1	1	0	1	0	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1	1	0	1	1	0	1	0	0	1	0	0	0	1	1	0	0	0	0	0	1	0	1	1	0	1	0	0	1	0	0	0	0	0	1	0	0	0	1	1	1	1	1	1	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	1
Qdr14	1	1	0	1	1	0	1	0	0	0	0	0	1	0	1	0	0	1	0	1	1	0	1	0	1	0	0	0	0	0	1	0	0	0	0	1	1	1	0	0	0	1	1	0	1	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	0	1	1	0	1	1	0	1	0	0	0	1	1	0	0	0	0	0	1	1	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	1	1	1	1	1	1	0	0	0	0	1	0	1	0	1	0	0	1	0	0	1	1
Qdr15	1	1	0	1	1	0	1	0	0	0	0	0	1	0	1	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	1	1	0	0	0	1	1	1	1	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	0	1	1	0	1	1	0	1	0	0	0	1	1	0	0	0	0	0	1	1	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	1	1	1	1	1	1	0	0	0	0	1	0	1	0	1	0	0	1	0	0	0	1
Qdr16	1	1	0	1	1	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	1	1	0	0	0	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1	1	0	1	1	0	1	0	0	1	0	0	0	1	1	0	0	0	0	0	1	0	1	1	0	1	0	0	1	0	0	0	1	0	1	0	0	0	1	1	1	1	1	1	0	0	1	0	0	1	0	1	0	1	0	0	0	0	0	0	1
Qdr17	1	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	1	1	0	0	0	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1	1	0	1	1	0	1	0	0	1	0	0	0	1	1	0	0	0	0	0	1	0	1	1	0	1	0	0	1	0	0	0	1	0	1	0	0	0	1	1	1	1	1	1	0	0	1	0	0	1	0	1	0	1	0	0	0	0	0	0	1
Qdr18	1	1	0	1	1	1	1	0	0	0	0	0	1	1	0	0	0	1	0	1	1	0	0	0	1	0	1	0	0	0	0	1	0	0	0	1	1	1	0	1	0	1	1	1	0	1	1	0	0	1	1	1	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	0	0	1	1	1	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	1	1	0	0	0	0	0	1	0	0	0	1	0	1	0	1	0	1
Qdr19	1	1	0	1	1	0	1	0	0	0	0	0	1	1	0	0	0	1	0	1	1	0	0	0	1	0	1	0	0	0	0	1	0	0	0	1	1	1	0	1	0	1	1	0	0	1	1	0	0	1	1	1	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	0	0	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	0	0	1	1	1	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	1	1	0	0	0	0	0	1	0	0	0	1	0	1	0	1	0	1
Qdr20	1	1	0	1	1	0	1	0	0	0	0	0	1	0	1	0	0	1	0	1	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	1	1	0	0	0	1	1	1	1	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	0	1	1	0	1	1	0	1	0	0	0	1	1	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	1	1	1	1	1	0	0	0	0	1	0	1	0	1	0	0	1	0	0	1	1
Qdr21	1	1	0	1	1	0	1	0	0	0	0	0	1	0	1	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	1	1	0	0	0	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	0	1	1	0	1	1	0	1	0	0	0	1	1	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	1	1	1	1	1	1	1	0	1	0	0	1	0	1	0	1	0	0	1	0	0	0	1
Qdr22	1	1	0	1	1	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	1	0	0	0	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	0	1	1	0	1	0	0	1	0	0	0	1	1	0	0	0	0	0	1	0	1	1	0	1	0	0	1	0	0	0	1	0	1	0	0	0	1	1	1	1	1	1	1	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0
Qdr23	1	1	0	1	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	1	1	0	0	0	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1	1	0	1	1	0	1	0	0	1	0	0	0	1	1	0	0	0	0	0	1	0	1	1	0	1	0	0	1	0	0	0	1	0	1	0	0	0	1	1	1	1	1	1	0	0	1	1	0	1	0	1	0	1	0	0	0	0	0	0	1
Qdr24	1	1	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	1	1	0	0	0	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	0	1	1	0	1	1	1	1	1	1	0	1	1	0	1	0	0	1	0	0	0	1	1	0	0	0	0	0	1	0	1	1	0	1	0	0	1	0	0	1	1	0	1	0	0	0	1	1	1	1	1	1	0	0	1	1	0	1	0	1	0	1	0	0	0	0	0	0	1
Qdr25	1	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	1	1	0	0	0	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	0	1	1	0	1	1	1	1	1	1	0	1	1	0	1	0	0	1	0	0	0	1	1	0	0	0	0	0	1	0	0	1	0	1	0	0	1	0	0	1	1	0	1	0	0	0	1	1	1	1	1	1	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	1
Qdr26	1	1	0	1	1	1	1	0	0	0	0	0	1	1	0	0	0	1	0	1	1	0	0	0	1	0	1	0	0	0	0	1	0	0	0	1	0	1	0	0	0	1	1	1	0	1	1	0	0	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	0	0	1	1	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	1	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	1
Qdr27	1	1	0	1	1	0	1	0	0	0	0	0	1	1	0	0	0	1	0	1	1	0	0	0	1	0	1	0	0	0	0	1	0	0	0	1	1	1	0	0	0	1	1	1	0	1	1	0	0	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	0	0	1	1	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	1	1	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	1
Qdr28	1	1	0	1	1	0	1	0	0	0	0	0	0	1	0	0	0	1	0	1	1	0	0	0	1	0	1	0	0	0	0	1	0	1	0	1	1	1	0	0	0	1	1	1	0	1	1	0	0	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	0	1	1	1	0	0	0	1	1	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	1	1	0	1	1	1	1	0	0	0	0	1	1	0	1	1	0	1	1	0	0	1
Qdr29	1	1	0	1	1	0	1	0	0	0	0	0	0	1	1	0	0	1	0	1	1	0	0	0	1	0	1	0	0	0	1	1	0	1	0	1	1	1	0	0	0	1	1	1	0	1	1	0	0	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	0	1	1	0	0	0	1	0	1	1	1	0	0	0	1	1	1	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	1	1	0	1	1	1	1	0	0	0	0	0	1	0	1	0	0	1	1	1	0	1
Qdr30	1	1	0	1	1	0	1	0	0	0	0	0	0	0	1	0	0	1	0	1	1	0	0	0	1	0	0	0	0	0	1	1	0	0	0	1	1	1	0	0	0	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	0	1	1	0	1	1	0	1	0	1	0	1	1	0	0	0	0	0	1	1	1	0	0	0	0	1	1	0	0	0	0	0	1	1	0	0	1	1	1	0	1	1	1	1	0	0	0	1	0	1	0	1	0	0	1	1	1	0	1
Qdr31	1	1	0	1	1	0	1	0	0	0	0	0	1	0	1	0	0	1	0	1	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	1	1	0	0	0	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	0	1	1	0	1	1	0	1	0	0	0	1	1	0	1	0	0	0	1	1	1	0	0	1	0	0	0	0	0	0	0	0	1	1	0	1	1	1	1	1	1	1	1	0	1	0	0	1	0	1	0	1	0	0	1	0	0	0	1
Qdr32	1	1	0	0	1	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	1	1	0	0	0	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	0	1	1	0	1	1	1	1	1	1	0	1	1	0	1	0	0	1	0	0	0	1	1	0	1	0	0	0	1	0	1	1	0	1	0	0	1	0	0	1	1	0	1	0	0	0	1	1	1	1	1	1	0	0	1	1	0	0	0	1	0	1	0	0	0	0	0	0	1
Qdr33	1	1	0	1	1	1	1	0	0	0	0	0	1	1	0	0	0	1	0	1	1	0	0	0	1	0	1	0	0	0	0	1	0	0	0	1	0	1	0	0	0	1	1	1	0	1	1	0	0	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	0	1	1	1	1	0	1	1	1	0	0	1	0	1	1	1	0	0	1	1	1	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	1	0	1	0	0	0	0	1	1	0	1	1	0	1	0	0	0	1
Qdr34	1	1	0	1	1	0	1	0	0	0	0	0	1	1	0	0	0	1	0	1	1	0	0	0	1	0	1	0	0	0	0	1	0	0	0	1	1	1	0	0	0	1	1	1	0	1	1	0	0	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	0	1	1	1	0	1	0	1	1	1	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	1	1	1	0	1	1	1	1	0	0	0	0	1	1	0	1	1	0	1	1	0	0	1
Qdr35	1	1	0	1	1	0	1	0	0	0	0	0	0	0	1	0	0	1	0	1	1	0	0	0	1	0	1	0	0	0	1	1	0	0	0	1	1	1	0	0	0	1	1	1	0	1	1	0	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	0	1	1	0	0	0	1	0	1	1	1	0	1	0	0	1	1	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	1	1	1	0	1	1	1	1	0	0	0	1	0	1	0	1	0	0	1	1	1	0	1
Qdr36	1	1	0	1	1	0	1	0	0	0	0	0	0	0	1	0	0	1	0	1	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	1	1	0	0	0	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	0	1	1	0	1	1	0	0	0	1	0	1	1	0	0	1	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	1	1	1	0	1	1	1	1	0	0	0	1	0	1	0	1	0	0	1	1	1	0	1
Qdr37	1	1	0	1	1	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	1	0	0	0	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	0	1	1	0	1	1	0	1	0	0	0	1	1	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	0	1	1	1	0	1	0	0	1	0	1	0	1	0	0	1	1	0	0	1
Qdr38	1	1	0	0	1	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	1	1	0	0	0	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	0	1	1	0	1	1	1	1	1	1	0	1	1	0	1	0	0	1	0	0	0	1	1	0	1	0	0	0	1	0	0	1	0	1	0	0	1	0	0	1	1	0	1	1	1	0	1	1	1	1	1	1	1	0	1	1	0	1	0	1	0	1	0	0	0	1	0	0	1
Qdr39	1	1	1	0	1	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	1	0	0	0	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	0	1	1	0	1	1	1	1	1	1	0	1	1	0	1	0	0	1	0	0	0	1	1	0	1	0	0	0	1	0	0	1	0	1	0	0	1	0	0	1	1	0	1	0	0	0	1	1	1	1	1	1	1	0	1	1	0	0	0	1	0	1	0	0	0	0	0	0	1
Qdr40	1	1	0	0	1	0	1	0	0	0	0	0	1	1	0	0	0	1	0	1	1	0	0	0	1	0	1	0	0	0	0	1	0	0	0	1	0	1	0	0	0	1	1	1	0	1	1	0	0	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	0	1	1	1	0	1	0	1	1	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	1	1	1	0	0	0	0	1	1	0	1	0	0	1	1	0	0	1
Qdr41	1	1	0	0	1	0	1	0	0	0	0	0	0	1	1	0	0	1	0	1	1	0	0	0	1	0	1	0	0	0	0	1	0	0	0	1	0	1	0	0	0	1	1	1	0	1	1	0	0	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	0	1	1	1	0	1	0	1	1	1	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	1	1	1	0	0	0	1	1	1	0	1	0	0	1	1	0	0	1
Qdr42	1	1	0	0	1	0	1	0	0	0	0	0	0	1	1	0	0	1	0	1	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	1	1	0	0	0	1	1	1	0	1	1	0	0	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	0	1	1	1	0	1	0	1	1	1	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	1	1	1	0	0	0	1	0	1	0	1	0	0	1	1	0	0	1
Qdr43	1	1	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	1	0	1	1	0	0	0	1	0	1	0	0	0	1	0	0	0	0	1	1	1	0	0	0	1	1	1	0	1	1	0	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	0	1	1	0	0	0	1	0	1	1	1	0	1	0	1	1	1	0	0	1	1	0	1	0	0	0	0	0	0	0	1	0	0	1	1	1	0	1	1	1	1	0	0	0	1	0	1	0	1	0	0	1	1	0	0	1
Qdr44	1	1	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	1	0	0	0	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	0	1	1	0	1	1	0	1	0	0	0	1	1	0	1	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	1	1	1	1	0	1	1	1	0	1	0	0	1	0	1	0	1	0	0	1	1	0	0	1
Qdr45	1	1	0	0	1	0	1	1	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	1	1	0	0	0	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	0	1	1	0	1	1	1	1	1	1	0	1	1	0	1	1	0	1	0	0	1	1	1	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	1	0	1	0	1	0	0	0	1	0	0	1
Qdr46	1	1	0	0	1	0	1	1	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	1	1	0	0	0	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	0	1	1	0	1	1	1	1	1	1	0	1	1	0	1	0	0	1	0	0	1	1	1	0	1	0	0	0	1	0	0	1	0	1	0	0	0	0	0	1	1	0	1	0	1	1	1	1	1	1	1	1	1	0	1	1	0	1	0	1	0	1	0	0	0	1	0	0	1
